hpsa_name,metropolitan_indicator,designation_type,hpsa_discipline_class,hpsa_status,hpsa_score,hpsa_designation_population,u_s_mexico_border_county_indicator,rural_status,hpsa_population_type
Low Income - Ferndale (MSSA 41),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,3101,N,Rural,Low Income Population HPSA
Low Income - Blue Lake (MSSA 40),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,2577,N,Rural,Low Income Population HPSA
Low Income - North Coastal (MSSA 39),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,1183,N,Rural,Low Income Population HPSA
Low Income - South Napa (MSSA 112),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,19818,N,Non-Rural,Low Income Population HPSA
Low Income - Paradise,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,14143,N,Rural,Low Income Population HPSA
Mammoth Lakes (MSSA 103),Frontier,Geographic HPSA,Primary Care,Withdrawn,0,5030,N,Rural,Geographic Population
Low Income - Dunsmuir,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,1288,N,Rural,Low Income Population HPSA
Low Income - Mt. Shasta/Weed,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,4508,N,Rural,Low Income Population HPSA
McCloud/Tennant (MSSA 199),Frontier,Geographic HPSA,Primary Care,Withdrawn,0,1691,N,Rural,Geographic Population
Low Income - Highland Park (MSSA 78.2I),Metropolitan,HPSA Population,Primary Care,Withdrawn,0,75983,N,Non-Rural,Low Income Population HPSA
Low Income - Newman,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,8487,N,Rural,Low Income Population HPSA
Low Income/Migrant Farmworker - Gustine,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,2624,N,Rural,Low Income Migrant Farmworker Population HPSA
Low Income - Healdsburg/Geyserville,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,6760,Y,Non-Rural,Low Income Population HPSA
Low Income - Lake Arrowhead,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,3894,N,Non-Rural,Low Income Population HPSA
Florence/Huntington Park,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,87147,N,Non-Rural,Geographic Population
Spanish Speaking Population - San Marcos,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,4177,Y,Non-Rural,Other Population HPSA
Medicaid - Tehama County,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,9204,N,Rural,Medicaid Eligible Population HPSA
Redwood/Potter Valley,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,7519,N,Rural,Geographic Population
Low Income/Migrant Seasonal Farmworkers - Arvin/La,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,31360,N,Non-Rural,Low Income Migrant Seasonal Worker Population HPSA
MSSA 78.2r - Inglewood East,Unknown,Geographic HPSA,Primary Care,Designated,11,76951,N,Non-Rural,Geographic Population
LI MSSA 247 - Brownsville,Unknown,HPSA Population,Primary Care,Designated,10,1261,N,Unknown,Low Income Population HPSA
MSSA 79.1-Oakhurst- Yosemite Lakes,Unknown,Geographic HPSA,Primary Care,Designated,12,33123,N,Rural,Geographic Population
Low Income/MFW - MSSA 105&107 /King City/Soledad,Unknown,HPSA Population,Primary Care,Withdrawn,17,34630,N,Rural,Low Income Migrant Farmworker Population HPSA
MSSA 85 &amp; 86 - Mariposa/Yosemite Valley,Unknown,Geographic HPSA,Primary Care,Designated,16,17112,N,Rural,Geographic Population
LI-MSSA 64 Ridgecrest,Unknown,HPSA Population,Primary Care,Designated,14,11352,N,Rural,Low Income Population HPSA
MSSA 146/Big Bear Lake,Unknown,Geographic HPSA,Primary Care,Designated,13,26087,N,Rural,Geographic Population
MSSA 23.2/Pollock,Unknown,High Needs Geographic HPSA,Primary Care,Withdrawn,15,23498,N,Non-Rural,Geographic Population
ME 78.2vv-Los Nietos/Santa Fe Springs Northeast,Unknown,HPSA Population,Primary Care,Designated,16,32438,N,Non-Rural,Medicaid Eligible Population HPSA
LI-MSSA 78.2ll/San Fernando West,Unknown,HPSA Population,Primary Care,Designated,13,58599,N,Non-Rural,Low Income Population HPSA
Low Income - MSSA 116c/Anaheim W,Unknown,HPSA Population,Primary Care,Withdrawn,11,53495,N,Non-Rural,Low Income Population HPSA
Cuyama,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,1206,N,Rural,Geographic Population
Clearlake Highlands,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,20966,N,Rural,Geographic Population
Spanish Speaking Population - North West Merced,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,7166,N,Rural,Other Population HPSA
Stewarts Point,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,2089,N,Non-Rural,Geographic Population
Spanish Speaking Population - Porterville,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,14756,N,Non-Rural,Other Population HPSA
Indochinese Population - Sacramento Area,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,10300,N,Partially Rural,Other Population HPSA
Pittsburg,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,43843,N,Non-Rural,Geographic Population
Esparto,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,3538,N,Non-Rural,Geographic Population
Dixon,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,14109,N,Rural,Geographic Population
West Compton,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,76794,N,Non-Rural,Geographic Population
Greenville,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,3057,N,Rural,Geographic Population
Tenderloin,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,23044,N,Partially Rural,Geographic Population
